,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Pacsin1,386.249000734761,-0.246580696881138,0.173135802488066,-1.42420396785428,0.154387436636195,0.866364761489154
P2rx5,6.16101562118252,-0.38239952243099,0.989090842008303,-0.386617190443848,0.699039629631716,NA
Oser1,3713.05572468684,0.0912760081633556,0.0986960465823576,0.924819294430295,0.355059912518578,0.991186195007051
Abat,3.53180180669047,0.306435104776564,1.39467581321166,0.21971780242672,0.82609093911461,NA
Dbndd1,4.42539279744054,0.383460223588285,1.17304572691113,0.326892818234814,0.743748953172542,NA
Dhdds,305.426778601517,0.166252499669968,0.147909052562046,1.12401842071314,0.261005211405593,0.968780318457743
1810046K07Rik,2.20824475265228,1.1899916595191,1.48107261354169,0.803466115461733,0.421705374140834,NA
Syp,4.59469459973721,-0.797040216318318,1.03041145250269,-0.773516457316586,0.439216792837163,NA
Syngr2,634.256983439022,-0.000921265511687592,0.12309698511081,-0.00748406235017277,0.994028637942612,0.999843173678725
Syngr1,6.97047104093837,-0.85381675305346,0.819629362865228,-1.04171079238635,0.297545783820726,NA
Swap70,96.7468390256162,0.118726954664688,0.277058226543176,0.428527086692321,0.668267417378149,0.997781340337504
Dppa2,2.89021646496187,0.876425676323312,1.37102142169215,0.639250169586412,0.522660199472079,NA
Zbtb8a,122.365410152389,0.0338941558465994,0.268916322728744,0.12603978628991,0.899700430781205,0.99976360228866
Wdr75,793.027359466225,0.168141159159429,0.148575188674272,1.13169069923278,0.257764493112278,0.965966888638041
Snx2,1693.09735227639,0.0926845646715284,0.104793907858393,0.884446114909389,0.376455438531025,0.996160581482943
Dennd1b,855.968420775563,0.0168226037844264,0.114184979418775,0.147327642129963,0.882873415270691,0.99976360228866
Slc25a29,68.7911367571883,0.0886556212640143,0.298217255015405,0.297285350773665,0.766248664753297,0.999204715898375
Slc25a15,155.934819257547,0.0759461559589957,0.21673668371817,0.3504074836623,0.726032910841681,0.997781340337504
Snord42b,3.98625081252623,-0.360190877894975,0.973141685329877,-0.370131999609982,0.711284140335206,NA
Arntl,380.584961285448,-0.165583105493103,0.186453876335432,-0.888064698613277,0.374505950257011,0.996160581482943
Lcat,5.47414046157905,-1.20868609874905,1.08327905019065,-1.11576615326986,0.264522245351819,NA
Lbp,34.8237114661071,0.82290028937306,0.435450785510484,1.88976645985002,0.0587892011438619,0.686664672293759
Snora3,23.1291239841487,-0.197413407323428,0.44921871833177,-0.439459442065432,0.66032866363337,NA
